sku,microinvest_code,name_bg,unit,unit_raw,quantity,purchase_price,retail_price,selling_price
NOC-18014D29D6,,0801  0006      ГОТВ.ПЕЧ.PRESTIGE 1ф./тухли/,pcs,БР,0.000,0.00,0.00,63.91
NOC-214C1343D5,,0801  0008      ГОТВ.ПЕЧ.PRESTIGE 2ф./кофи/,pcs,БР,0.000,0.00,0.00,0.00
NOC-1B97D63F80,,0801  0007      ГОТВ.ПЕЧ.PRESTIGE 2ф./тухли/,pcs,БР,0.000,0.00,0.00,66.47
NOC-6EC8C1F6E2,,0801  0004      ГОТВ.ПЕЧ.ЕХО,pcs,БР,0.000,0.00,0.00,0.00
NOC-4ADDE2FF88,,0801  0003      ГОТВ.ПЕЧКА,pcs,БР,0.000,0.00,0.00,0.00
NOC-763119F45D,,0801  0005      ГОТВ.ПЕЧКА СЕЛСКА MERS,pcs,БР,0.000,0.00,0.00,74.14
NOC-2318A4888F,,0801  0019      ГОТВ.ПЕЧКА ХОШСЕВЕН БЯЛА,pcs,БР,0.000,0.00,265.87,247.98
NOC-01D37CEC68,,0801  0020      ГОТВ.ПЕЧКА ХОШСЕВЕН КАФЯВА,pcs,БР,0.000,0.00,265.87,247.98
NOC-5A11FEA4A3,,0801  0016      ГОТВ.ПЕЧКА/ХОШСЕВЕН-4011,pcs,БР,0.000,0.00,0.00,104.81
NOC-C2B9B673FA,,0801  0017      ГОТВ.ПЕЧКА/ХОШСЕВЕН/-4003,pcs,БР,0.000,0.00,0.00,122.71
NOC-C5FD0DD013,,СТ03  132       ГОФРЕ Ф32-132 АСЕТ,pcs,бр.,0.000,0.00,0.00,0.46
NOC-AB30FD5867,,СТ03  108       ГОФРЕ Ф40-108 АСЕТ,pcs,бр.,0.000,0.00,0.00,0.46
NOC-1300211A08,,0501  83        ГРЕБЛО 5 ЗЪБА РУСКО,pcs,БР.,0.000,0.00,0.00,0.00
NOC-809B75459F,,МР04 115 1.0In  ДИСК РЯЗ.МЕТ.115х1.0 INOX/KARB,pcs,бр.,0.000,0.00,0.00,0.63
NOC-8A9C3A8FBB,,МР04 115 2.5М   ДИСК РЯЗ.МЕТ.115х2.5 KARBOSAN,pcs,бр.,0.000,0.00,0.00,0.48
NOC-D8D38D731B,,МР04 125 1.0In  ДИСК РЯЗ.МЕТ.125х1.0 INOX/KARB,pcs,бр.,0.000,0.00,0.00,0.78
NOC-6CE3E252CB,,МР04 125 2.5М   ДИСК РЯЗ.МЕТ.125х2.5 KARBOSAN,pcs,бр.,0.000,0.00,0.00,0.56
NOC-19170ECF57,,МР04 125 6.4М   ДИСК РЯЗ.МЕТ.125х6.4 KARBOSAN,pcs,бр.,0.000,0.00,0.00,1.00
NOC-1B8FC2CA73,,МР04 180 3.0М   ДИСК РЯЗ.МЕТ.180x3.0 KARBOSAN,pcs,бр.,0.000,0.00,0.00,0.86
NOC-48652C295D,,МР04 230 1.9М   ДИСК РЯЗ.МЕТ.230х1.9 KARBOSAN,pcs,бр.,0.000,0.00,0.00,1.56
NOC-0C9396C21E,,МР04 230 3.0М   ДИСК РЯЗ.МЕТ.230х3.0 KARBOSAN,pcs,бр.,0.000,0.00,0.00,1.08
NOC-099B3BB249,,СКМ7GKW 3.5/60  ДЮБ+ВИНТ 3.5х60 ПЕПЕРУДА/100бр,box,КУТИЯ,0.000,0.00,0.00,2.80
NOC-BF6072320A,,СКМ7LTX 10x 70  ДЮБ+ПИРОН ТОПЛ.10х 70/200бр.,box,КУТИЯ,0.000,0.00,0.00,6.89
NOC-0D0C146C27,,СКМ7LTX 10x 90  ДЮБ+ПИРОН ТОПЛ.10х 90/200бр.,box,КУТИЯ,0.000,0.00,0.00,7.34
NOC-4B5A175F7D,,СКМ7     8x 50  ДЮБ.БЕТОН ТОПЛ. 8х 50/ 500бр.,box,КУТИЯ,0.000,0.00,0.00,6.75
NOC-11F65C5573,,СКМ7     8x 70  ДЮБ.БЕТОН ТОПЛ. 8х 70/ 400бр.,box,КУТИЯ,0.000,0.00,0.00,7.16
NOC-0E6E9EFE41,,СКМ7     8x 90  ДЮБ.БЕТОН ТОПЛ. 8х 90/350бр.,box,КУТИЯ,0.000,0.00,0.00,5.27
NOC-4BA5CDA554,,СКМ7     8x110  ДЮБ.БЕТОН ТОПЛ. 8х110/250бр.,box,КУТИЯ,0.000,0.00,0.00,4.09
NOC-AFFA8AAD87,,СКМ7     8x130  ДЮБ.БЕТОН ТОПЛ. 8х130/ 700бр.,box,КУТИЯ,0.000,0.00,0.00,12.48
NOC-3D12555A38,,СКМ7    10x140  ДЮБ.МЕТАЛЕН ПИРОН 10/140/200бр,pcs,БР.,0.000,0.00,0.00,21.65
NOC-499FE0B941,,СКМ7    10x160  ДЮБ.МЕТАЛЕН ПИРОН 10/160/200бр,pcs,БР.,0.000,0.00,0.00,25.03
NOC-D16456CD1E,,СКМ7    10x180  ДЮБ.МЕТАЛЕН ПИРОН 10/180/200бр,pcs,БР.,0.000,0.00,0.00,27.97
NOC-43F5591C60,,СКМ7KPRP 8/ 65  ДЮБ.ТУХЛА+БОЛТ  8х 65/100,box,КУТИЯ,0.000,0.00,0.00,5.45
NOC-6211F945D3,,СКМ7KPRP 8/100  ДЮБ.ТУХЛА+БОЛТ  8х100/50,box,КУТИЯ,0.000,0.00,0.00,3.65
NOC-0222E1A036,,СКМ7KPRS10/ 80  ДЮБ.ТУХЛА+БОЛТ 10х 80/50,box,КУТИЯ,0.000,0.00,0.00,6.44
NOC-8BB81C5054,,СКМ7KPRS10/100  ДЮБ.ТУХЛА+БОЛТ 10х100/50,box,КУТИЯ,0.000,0.00,0.00,8.35
NOC-C08C1A2D5C,,СКМ7KPRS10/115  ДЮБ.ТУХЛА+БОЛТ 10х115/50,box,КУТИЯ,0.000,0.00,0.00,6.80
NOC-89AEBCCD13,,СКМ7KPRS10/120  ДЮБ.ТУХЛА+БОЛТ 10х120/50,box,КУТИЯ,0.000,0.00,0.00,11.01
NOC-264EB71140,,СКМ7KPRS10/140  ДЮБ.ТУХЛА+БОЛТ 10х140/50,box,КУТИЯ,0.000,0.00,0.00,12.70
NOC-EAB45ADB71,,СКМ7KPRS10/160  ДЮБ.ТУХЛА+БОЛТ 10х160/50,box,КУТИЯ,0.000,0.00,0.00,16.11
NOC-7CB90C14A2,,СКМ7KPRP 8/ 80  ДЮБ.ТУХЛА+ВИНТ  8х 80/ 50,box,КУТИЯ,0.000,0.00,0.00,3.17
NOC-E759FC8547,,СКМ7KPRP 8/120  ДЮБ.ТУХЛА+ВИНТ  8х120/ 50,box,КУТИЯ,0.000,0.00,0.00,4.44
NOC-446E90168A,,СКМ7KPRP 8/140  ДЮБ.ТУХЛА+ВИНТ  8х140/ 50,box,КУТИЯ,0.000,0.00,0.00,4.56
NOC-F12B65EC45,,СКМ7KPX-L 6/30  ДЮБ.УНИВЕРС. 6х30/1000бр.,box,КУТИЯ,0.000,0.00,0.00,3.20
NOC-26A884D5CB,,СКМ7KPX-L 8/50  ДЮБ.УНИВЕРС. 8х50/ 300бр.,box,КУТИЯ,0.000,0.00,0.00,2.94
NOC-CDA86ABE02,,СКМ7 6/ 40-200  ДЮБЕЛ ПИРОН  6х 40 ШИР.ЯКА/200,box,КУТИЯ,0.000,0.00,0.00,2.20
NOC-7EF2CFBF83,,СКМ7 6/ 50-200  ДЮБЕЛ ПИРОН  6х 50/ 200/ 8к.,box,КУТИЯ,0.000,0.00,0.00,2.86
NOC-94F20571DA,,СКМ7К6/ 40-200  ДЮБЕЛ ПИРОН  6х 60 ШИР.ЯКА/200,pcs,БР.,0.000,0.00,0.00,2.99
NOC-453CC51F05,,СКМ7 6/ 60-200  ДЮБЕЛ ПИРОН  6х 60/ 200/ 8к.,box,КУТИЯ,0.000,0.00,0.00,2.86
